01/01/2014,,CAPUTI,FURCI
02/01/2014,,,RASPA
03/01/2014,,,DIACO
04/01/2014,INTERNAZIONALE,DE SANDO,DIACO
05/01/2014,,DE SANDO,DIACO
06/01/2014,,DE SANDO,ROPERTO
07/01/2014,,,FREZZA
08/01/2014,,,INTERNAZIONALE
09/01/2014,,,DI CELLO
10/01/2014,,,COTRONEO
11/01/2014,AIELLO,SALUS,COTRONEO
12/01/2014,,SALUS,COTRONEO
13/01/2014,,,FEROLETO
14/01/2014,,,PARISE
15/01/2014,,,AIELLO
16/01/2014,,,DI CELLO
17/01/2014,,,ROPERTO
18/01/2014,FREZZA,MALLAMO,ROPERTO
19/01/2014,,MALLAMO,ROPERTO
20/01/2014,,,DIACO
21/01/2014,,,RASPA
22/01/2014,,,FREZZA
23/01/2014,,,INTERNAZIONALE
24/01/2014,,,FURCI
25/01/2014,PARISE,PETRONIO,FURCI
26/01/2014,,PETRONIO,FURCI
27/01/2014,,,COTRONEO
28/01/2014,,,FEROLETO
29/01/2014,,,PARISE
30/01/2014,,,AIELLO
31/01/2014,,,DI CELLO
01/02/2014,RASPA,CAPUTI,DI CELLO
02/02/2014,,CAPUTI,DI CELLO
03/02/2014,,,ROPERTO
04/02/2014,,,DIACO
05/02/2014,,,RASPA
06/02/2014,,,FREZZA
07/02/2014,,,AIELLO
08/02/2014,FEROLETO,DE SANDO,INTERNAZIONALE
09/02/2014,,DE SANDO,INTERNAZIONALE
10/02/2014,,,FURCI
11/02/2014,,,COTRONEO
12/02/2014,,,FEROLETO
13/02/2014,,,PARISE
14/02/2014,,,DE SANDO
15/02/2014,DI CELLO,AIELLO,SALUS
16/02/2014,,AIELLO,SALUS
17/02/2014,,,MALLAMO
18/02/2014,,,PETRONIO
19/02/2014,,,CAPUTI
20/02/2014,,,DE SANDO
21/02/2014,,,SALUS
22/02/2014,COTRONEO,FREZZA,MALLAMO
23/02/2014,,FREZZA,MALLAMO
24/02/2014,,,PETRONIO
25/02/2014,,,CAPUTI
26/02/2014,,,DE SANDO
27/02/2014,,,SALUS
28/02/2014,,,MALLAMO
01/03/2014,ROPERTO,PARISE,PETRONIO
02/03/2014,,PARISE,PETRONIO
03/03/2014,,,CAPUTI
04/03/2014,,,DE SANDO
05/03/2014,,,SALUS
06/03/2014,,,MALLAMO
07/03/2014,,,PETRONIO
08/03/2014,FURCI,RASPA,CAPUTI
09/03/2014,,RASPA,CAPUTI
10/03/2014,,,DE SANDO
11/03/2014,,,SALUS
12/03/2014,,,MALLAMO
13/03/2014,,,PETRONIO
14/03/2014,,,CAPUTI
15/03/2014,DI CELLO,FEROLETO,DE SANDO
16/03/2014,,FEROLETO,DE SANDO
17/03/2014,,,SALUS
18/03/2014,,,MALLAMO
19/03/2014,,,PETRONIO
20/03/2014,,,CAPUTI
21/03/2014,,,DIACO
22/03/2014,INTERNAZIONALE,SALUS,DIACO
23/03/2014,,SALUS,DIACO
24/03/2014,,,RASPA
25/03/2014,,,FREZZA
26/03/2014,,,INTERNAZIONALE
27/03/2014,,,FURCI
28/03/2014,,,COTRONEO
29/03/2014,AIELLO,MALLAMO,COTRONEO
30/03/2014,,MALLAMO,COTRONEO
31/03/2014,,,FEROLETO
01/04/2014,,,PARISE
02/04/2014,,,AIELLO
03/04/2014,,,DI CELLO
04/04/2014,,,ROPERTO
05/04/2014,FREZZA,PETRONIO,ROPERTO
06/04/2014,,PARISE,ROPERTO
07/04/2014,,,DIACO
08/04/2014,,,RASPA
09/04/2014,,,FREZZA
10/04/2014,,,INTERNAZIONALE
11/04/2014,,,FURCI
12/04/2014,PARISE,CAPUTI,FURCI
13/04/2014,,CAPUTI,FURCI
14/04/2014,,,COTRONEO
15/04/2014,,,FEROLETO
16/04/2014,,,PARISE
17/04/2014,,,AIELLO
18/04/2014,,,ROPERTO
19/04/2014,DIACO,DE SANDO,AIELLO
